"place_name","city","province","category","best_season","rating","lat","lon","popularity","weather_tag","budget_level","trip_days"
"Hunza Valley","Karimabad","Gilgit-Baltistan","Valley","Spring/Autumn","4.8","36.3167","74.65","116","sunny","moderate","2-4"
"Badshahi Mosque","Lahore","Punjab","Historical/Religious","Winter","4.7","31.5204","74.3587","114","snowy","budget","1-2"
"Skardu Valley","Skardu","Gilgit-Baltistan","Valley/Adventure","Summer","4.6","35.2971","75.6337","112","sunny","moderate","2-4"
"Swat Valley","Mingora","Khyber Pakhtunkhwa","Valley","Spring/Summer","4.5","34.7717","72.36","110","sunny","moderate","2-4"
"Faisal Mosque","Islamabad","Islamabad Capital Territory","Religious/Architecture","All","4.9","33.6844","73.0479","118","sunny","budget","1-3"
"Mohenjo-daro","Larkana","Sindh","Archaeological","Winter","4.4","27.559","68.212","108","snowy","moderate","1-2"
"Deosai National Park","Skardu","Gilgit-Baltistan","National Park/Nature","Summer","4.7","35.2971","75.6337","114","sunny","budget","2-4"
"Lahore Fort","Lahore","Punjab","Historical","Winter","4.6","31.5204","74.3587","112","snowy","budget","1-2"
"Lake Saiful Muluk","Naran","Khyber Pakhtunkhwa","Lake/Nature","Summer","4.8","34.9083","73.6497","116","sunny","moderate","1-3"
"Ziarat","Ziarat","Balochistan","Hill Station","Summer","4.3","30.3824","67.7256","106","snowy","moderate","2-4"
"Shalimar Gardens","Lahore","Punjab","Historical/Garden","Winter","4.6","31.5204","74.3587","112","sunny","budget","1-2"
"Attabad Lake","Hunza","Gilgit-Baltistan","Lake","Summer","4.7","36.3167","74.65","114","sunny","moderate","1-3"
"Makli Necropolis","Thatta","Sindh","Archaeological/Tomb","Winter","4.3","24.7475","67.9235","106","snowy","budget","1-2"
"Rohtas Fort","Jhelum","Punjab","Historical","Winter","4.5","32.9425","73.7257","110","snowy","budget","1-2"
"Naltar Valley","Naltar","Gilgit-Baltistan","Valley/Skiing","Winter","4.6","36.1333","74.1833","112","snowy","moderate","2-4"
"Wagah Border","Lahore","Punjab","Historical/Event","Winter","4.5","31.5204","74.3587","110","snowy","moderate","1-2"
