"place_name","city","province","category","best_season","rating","lat","lon","popularity","weather_tag","budget_level","trip_days"
"Hunza Valley","Karimabad","Gilgit-Baltistan","Valley","Spring/Autumn","4.8","36.3167","74.6500","116","sunny","moderate","2-4"
"Badshahi Mosque","Lahore","Punjab","Historical/Religious","Winter","4.7","31.5884","74.3107","114","snowy","budget","1-2"
"Skardu Valley","Skardu","Gilgit-Baltistan","Valley/Adventure","Summer","4.6","35.2971","75.6337","112","sunny","moderate","2-4"
"Swat Valley","Mingora","Khyber Pakhtunkhwa","Valley","Spring/Summer","4.5","34.7717","72.3600","110","sunny","moderate","2-4"
"Faisal Mosque","Islamabad","Islamabad Capital Territory","Religious/Architecture","All","4.9","33.7295","73.0372","118","sunny","budget","1-3"
"Mohenjo-daro","Larkana","Sindh","Archaeological","Winter","4.4","27.3244","68.1375","108","snowy","moderate","1-2"
"Deosai National Park","Skardu","Gilgit-Baltistan","National Park/Nature","Summer","4.7","34.9700","75.5500","114","sunny","budget","2-4"
"Lahore Fort","Lahore","Punjab","Historical","Winter","4.6","31.5882","74.3153","112","snowy","budget","1-2"
"Lake Saiful Muluk","Naran","Khyber Pakhtunkhwa","Lake/Nature","Summer","4.8","34.8867","73.6897","116","sunny","moderate","1-3"
"Ziarat","Ziarat","Balochistan","Hill Station","Summer","4.3","30.3824","67.7256","106","snowy","moderate","2-4"
"Shalimar Gardens","Lahore","Punjab","Historical/Garden","Winter","4.6","31.5876","74.3751","112","sunny","budget","1-2"
"Attabad Lake","Hunza","Gilgit-Baltistan","Lake","Summer","4.7","36.3367","74.8603","114","sunny","moderate","1-3"
"Makli Necropolis","Thatta","Sindh","Archaeological/Tomb","Winter","4.3","24.7508","67.8981","106","snowy","budget","1-2"
"Rohtas Fort","Jhelum","Punjab","Historical","Winter","4.5","32.9658","73.5892","110","snowy","budget","1-2"
"Naltar Valley","Naltar","Gilgit-Baltistan","Valley/Skiing","Winter","4.6","36.1333","74.1833","112","snowy","moderate","2-4"
"Wagah Border","Lahore","Punjab","Historical/Event","Winter","4.5","31.6048","74.5723","110","snowy","moderate","1-2"
"Minar-e-Pakistan","Lahore","Punjab","Historical/Monument","Winter","4.6","31.5926","74.3097","112","snowy","budget","1-2"
"Wazir Khan Mosque","Lahore","Punjab","Historical/Religious","Winter","4.7","31.5810","74.3257","114","snowy","budget","1-2"
"Katas Raj Temples","Chakwal","Punjab","Historical/Religious","Winter","4.4","32.6875","72.6381","108","snowy","budget","1-2"
"Taxila Museum","Taxila","Punjab","Historical/Museum","All","4.5","33.7461","72.7913","110","sunny","budget","1-2"
"Hiran Minar","Sheikhupura","Punjab","Historical/Monument","Winter","4.3","31.7117","73.9840","106","snowy","budget","1-2"
"Derawar Fort","Bahawalpur","Punjab","Historical/Fort","Winter","4.6","28.7572","71.3399","112","snowy","budget","1-2"
"Mahabat Khan Mosque","Peshawar","Khyber Pakhtunkhwa","Historical/Religious","Winter","4.5","34.0091","71.5788","110","snowy","budget","1-2"
"Takht-i-Bahi","Mardan","Khyber Pakhtunkhwa","Archaeological/Religious","Winter","4.6","34.3225","72.0957","112","snowy","moderate","1-2"
"Kalam Valley","Kalam","Khyber Pakhtunkhwa","Valley","Summer","4.7","35.4902","72.5804","114","sunny","moderate","2-4"
"Malam Jabba","Swat","Khyber Pakhtunkhwa","Hill Station/Skiing","Winter","4.5","34.8025","72.5597","110","snowy","moderate","2-4"
"Chitral Valley","Chitral","Khyber Pakhtunkhwa","Valley","Summer","4.6","35.8510","71.7864","112","sunny","moderate","2-4"
"Shogran","Kaghan Valley","Khyber Pakhtunkhwa","Hill Station","Summer","4.4","34.6167","73.4667","108","snowy","moderate","2-4"
"Ansoo Lake","Kaghan Valley","Khyber Pakhtunkhwa","Lake/Trekking","Summer","4.7","34.8575","73.6539","114","sunny","moderate","2-4"
"Rakaposhi Base Camp","Nagar","Gilgit-Baltistan","Trekking/Nature","Summer","4.8","36.1422","74.4979","116","sunny","moderate","2-4"
"Passu Cones","Gojal","Gilgit-Baltistan","Mountain","Summer","4.9","36.4788","74.8694","118","snowy","moderate","1-3"
"Khunjerab Pass","Hunza","Gilgit-Baltistan","Mountain Pass","Summer","4.8","36.8469","75.4222","116","snowy","moderate","1-3"
"Baltit Fort","Karimabad","Gilgit-Baltistan","Historical/Fort","Spring/Autumn","4.7","36.3197","74.6558","114","cloudy","budget","1-2"
"Altit Fort","Karimabad","Gilgit-Baltistan","Historical/Fort","Spring/Autumn","4.6","36.3069","74.6495","112","cloudy","budget","1-2"
"Fairy Meadows","Diamer","Gilgit-Baltistan","Meadow/Trekking","Summer","4.9","35.3967","74.5808","118","snowy","moderate","2-4"
"Jaulian Monastery","Taxila","Punjab","Buddhist Monastery/Archaeological","Winter","4.6","33.7719","72.8408","112","snowy","moderate","1-2"
"Dharmarajika Stupa","Taxila","Punjab","Buddhist Stupa/Archaeological","Winter","4.5","33.7533","72.8167","110","snowy","budget","1-2"
"Sirkap Ruins","Taxila","Punjab","Archaeological City","Winter","4.4","33.7600","72.8303","108","snowy","budget","1-2"
"Mohra Moradu","Taxila","Punjab","Buddhist Monastery/Archaeological","Winter","4.3","33.7697","72.8503","106","snowy","moderate","1-2"
"Bhir Mound","Taxila","Punjab","Ancient Settlement/Archaeological","Winter","4.2","33.7461","72.8017","104","snowy","moderate","1-2"
"Jandial Temple","Taxila","Punjab","Ancient Temple/Archaeological","Winter","4.1","33.7617","72.8344","102","snowy","budget","1-2"
"Pakistan Monument","Islamabad","Islamabad Capital Territory","National Monument/Architecture","All","4.7","33.6934","73.0679","114","sunny","budget","1-2"
"Lok Virsa Museum","Islamabad","Islamabad Capital Territory","Museum/Cultural","All","4.6","33.6936","73.0700","112","sunny","budget","1-2"
"Rawal Lake","Islamabad","Islamabad Capital Territory","Lake/Nature","Spring/Summer","4.5","33.7100","73.1300","110","sunny","moderate","1-3"
"Shakarparian Hills","Islamabad","Islamabad Capital Territory","Hills/Nature","Spring","4.6","33.6780","73.0500","112","sunny","moderate","1-3"
"Margalla Hills National Park","Islamabad","Islamabad Capital Territory","National Park/Hiking","Spring/Autumn","4.8","33.7617","73.0617","116","sunny","budget","2-4"
"Daman-e-Koh","Islamabad","Islamabad Capital Territory","Hill Viewpoint","Spring/Autumn","4.6","33.7400","73.0617","112","cloudy","moderate","1-3"
"Pir Sohawa","Islamabad","Islamabad Capital Territory","Hill Station/Viewpoint","Summer","4.7","33.7769","73.0744","114","snowy","moderate","2-4"
"Japanese Park","Islamabad","Islamabad Capital Territory","Recreation/Park","Spring","4.4","33.7075","73.0478","108","sunny","budget","1-3"
